fish_num,market,date,species,height,length,weight,image_name
8,0007,2022-06-01,고등어,8,20,3,
9,0007,2022-06-01,고등어,8,20,3,
10,0007,2022-06-01,고등어,8,20,3,
11,0007,2022-06-01,고등어,8,20,3,
12,0007,2022-06-01,고등어,8,20,3,
13,0007,2022-06-01,고등어,8,20,3,
14,0007,2022-06-01,고등어,8,20,3,
15,0007,2022-06-01,고등어,8,20,3,
16,0007,2022-06-01,고등어,8,20,3,
17,0007,2022-06-01,고등어,8,20,3,
18,0007,2022-06-01,고등어,8,20,3,
19,0007,2022-06-01,고등어,8,20,3,
20,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpeg
21,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpeg
22,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpg
23,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpg
24,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpg
25,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpg
26,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpg
27,0007,2022-06-01,고등어,8,20,3,0007_20220601_210325_020_008_3_고등어.jpg
